Sigle,Autor,Titel,Sammlung,Referenz,Jahr,Jahr_Schlawe,Jahr_Frank,Jahr_Metricalizer,Zeitraum_Frank,Zeitraum,Frank,Schlawe,Strophenformen,Metricalizer,Freiburger Anthologie,Zeno,Besonderheiten,falsche Zuordnungen
Hermann-Neisse - Das Lied von der Freundschaft,"""Hermann-Neisse, Max""",Das Lied von der Freundschaft,,,,,,,,,4.98,,,,,,,
Hermes - Ich hab von ferne,"""Hermes, Johann Timotheus""",Ich hab von ferne,,,,,,,,,4.80,,,,,,,
Hermlin - Ballade für die guten Leute,"""Hermlin, Stephan""",Ballade für die guten Leute,,,,,,,1900-2000,,8.31,,,,,,,
Hermlin - Ballade nach zwei vergeblichen Sommern,"""Hermlin, Stephan""",Ballade nach zwei vergeblichen Sommern,,,,,,,1900-2000,,8.8,,,,,,,
Hermlin - Ballade vom Land der ungesprochenen Worte,"""Hermlin, Stephan""",Ballade vom Land der ungesprochenen Worte,,,,,,,1900-2000,,8.14,,,,,,,
Hermlin - Ballade vom Stabsfeldwebel,"""Hermlin, Stephan""",Ballade vom Stabsfeldwebel,,,,,,,1900-2000,,2.9,,,,,,,
Hermlin - Ballade von den Unsichtbar,"""Hermlin, Stephan""",Ballade von den Unsichtbar,,,,,,,1900-2000,,4.94,,,,,,,
Hermlin - Der Tod des Dichters,"""Hermlin, Stephan""",Der Tod des Dichters,,,,,,,1900-2000,,4.111,,,,,,,
Hermlin - Die Ebene,"""Hermlin, Stephan""",Die Ebene,,,,,,,1900-2000,,4.94,,,,,,,
Hermlin - Die Einen und die Anderen,"""Hermlin, Stephan""",Die Einen und die Anderen,,,,,,,1900-2000,,8.7,,,,,,,
Hermlin - Die Terrassen von Albin,"""Hermlin, Stephan""",Die Terrassen von Albin,,,,,,,1900-2000,,4.106,,,,,,,
Hermlin - Epitaph für einen deutschen,"""Hermlin, Stephan""",Epitaph für einen deutschen,,,,,,,1900-2000,,2.9,,,,,,,
"Herrmann - Geht hin, ihr gläubigen Gedanken","""Herrmann, Johann Gottfried""","Geht hin, ihr gläubigen Gedanken",,,,,,,1700-1770,,6.38,,,,,,,
Herwegh - An die deutsche Jugend,"""Herwegh, Georg""",An die deutsche Jugend,,,,,,,1830-1900,,8.46,,,,,,,
Herwegh - Auch dies gehört dem König,"""Herwegh, Georg""",Auch dies gehört dem König,,,,,,,1830-1900,,3.7,,,,,,,
Herwegh - Aufruf,"""Herwegh, Georg""",Aufruf,,,,,,1841,1830-1900,,6.30,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df7454,,,
Herwegh - Der Freiheit eine Gasse,"""Herwegh, Georg""",Der Freiheit eine Gasse,,,,,,1841,1830-1900,,8.15,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df7458,,,
Herwegh - Der sterbende Trompeter,"""Herwegh, Georg""",Der sterbende Trompeter,,,,,,,1830-1900,,4.37,,,,,,,
Herwegh - Die Partei,"""Herwegh, Georg""",Die Partei,,,,,,1842,1830-1900,,8.46,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b186758952e88df71eb,,,
Herwegh - Die Schweiz,"""Herwegh, Georg""",Die Schweiz,,,,,Vormärz,,1830-1900,,4.124,,,,,,,
Herwegh - Gebet,"""Herwegh, Georg""",Gebet,,,,,Vormärz,,1830-1900,,4.124,,,,,,,
Herwegh - Groß,"""Herwegh, Georg""",Groß,,,,,1872,,1830-1900,,8.26,,,,,,"satirisch nach Schillers ""An die Freude""",
Herwegh - Neujahr,"""Herwegh, Georg""",Neujahr,,,,,,,1830-1900,,8.13,,,,,,,
"Hesenthaler - Ach Jammer, Tränen, Angst und Not","""Hesenthaler, Magnus""","Ach Jammer, Tränen, Angst und Not",,,,,17. Jh.,,1600-1700,,5.6,,,,,,,
"Hesenthaler - Jesu, Jesu, laß dein Leiden","""Hesenthaler, Magnus""","Jesu, Jesu, laß dein Leiden",,,,,,,1600-1700,,7.10,,,,,,,
Hesse - Abends auf der Brücke,"""Hesse, Hermann""",Abends auf der Brücke,,,1905,,,,1900-2000,,4.96,,,,,,,
Hesse - Abschied,"""Hesse, Hermann""",Abschied,,,1907,,,,1900-2000,,5.2,,,,,,,
Hesse - Alter Park,"""Hesse, Hermann""",Alter Park,,,1933,,,,1900-2000,,4.55,,,,,,,
Hesse - Ankunft in Cremona,"""Hesse, Hermann""",Ankunft in Cremona,,,1914,,,,1900-2000,,4.101,,,,,,,
Hesse - Auf einer Nachtwanderung,"""Hesse, Hermann""",Auf einer Nachtwanderung,,,1903,,,,1900-2000,,4.104,,,,,,,
Hesse - Aufstieg,"""Hesse, Hermann""",Aufstieg,,,1902,,vor 1900,,1900-2000,,4.59,,,,,,,
Hesse - August,"""Hesse, Hermann""",August,,,1899,,vor 1900,,1830-1900,,4.59,,,,,,,
Hesse - Beim Wein,"""Hesse, Hermann""",Beim Wein,,,1902,,,,1900-2000,,4.103,,,,,,,
Hesse - Beim Wiederlesen des Maler Nolten,"""Hesse, Hermann""",Beim Wiederlesen des Maler Nolten,,,1916,,,,1900-2000,,4.100,,,,,,,
Hesse - Berggeist,"""Hesse, Hermann""",Berggeist,,,1902,,,,1900-2000,,2.9,,,,,,,
Hesse - Bhagavad Gita,"""Hesse, Hermann""",Bhagavad Gita,,,1914,,,,1900-2000,,2.8,,,,,,,
Hesse - Bruder Tod,"""Hesse, Hermann""",Bruder Tod,,,1918,,,,1900-2000,,4.30,,,,,,,
Hesse - Bücher,"""Hesse, Hermann""",Bücher,,,1918,,,,1900-2000,,4.30,,,,,,,
Hesse - Chopin. Berceuse,"""Hesse, Hermann""",Chopin: Berceuse,,,1892,,,,1830-1900,,6.34,,,,,,,
Hesse - Das Fest,"""Hesse, Hermann""",Das Fest,,,1902,,,,1900-2000,,4.64,,,,,,,
Hesse - Das Glasperlenspiel,"""Hesse, Hermann""",Das Glasperlenspiel,,,1933,,,,1900-2000,,4.87,,,,,,,
Hesse - Daß ich so oft mit leisem Lied,"""Hesse, Hermann""",Daß ich so oft mit leisem Lied,,,1901,,,,1900-2000,,4.64,,,,,,,
Hesse - Dennoch,"""Hesse, Hermann""",Dennoch,,,1900,,,,1900-2000,,4.72,,,,,,Frank: im Wechsel mit 4.73,
Hesse - Der Ausgestoßene,"""Hesse, Hermann""",Der Ausgestoßene,,,1913,,,,1900-2000,,6.3,,,,,,,
Hesse - Der böse Tag,"""Hesse, Hermann""",Der böse Tag,,,1900,,,,1900-2000,,4.53,,,,,,,
Hesse - Der Dichter (Zu schönem Spiel und liebem Tand),"""Hesse, Hermann""",Der Dichter (Zu schönem Spiel und liebem Tand),,,1914,,,,1900-2000,,4.28,,,,,,,
Hesse - Der Dichter und seine Zeit,"""Hesse, Hermann""",Der Dichter und seine Zeit,,,1929,,,,1900-2000,,4.105,,,,,,,
Hesse - Der Enttäuschte,"""Hesse, Hermann""",Der Enttäuschte,,,1926,,,,1900-2000,,4.109,,,,,,,
Hesse - Der Geliebten,"""Hesse, Hermann""",Der Geliebten,,,1924,,,,1900-2000,,4.91,,,,,,,
"Hesse - Der Kreuzgang von Santo Stefano, Venedig","""Hesse, Hermann""","Der Kreuzgang von Santo Stefano, Venedig",,,1902,,,,1900-2000,,2.9,,,,,,,
Hesse - Der stille Hof,"""Hesse, Hermann""",Der stille Hof,,,1902,,,,1900-2000,,"3.4,3.4aak",,,,,,,
Hesse - Der Tod als Angler,"""Hesse, Hermann""",Der Tod als Angler,,,1927,,,,1900-2000,,4.110,,,,,,,
Hesse - Die Geheimnisvolle,"""Hesse, Hermann""",Die Geheimnisvolle,,,1928,,,,1900-2000,,6.45,,,,,,,
Hesse - Die junge Mutter,"""Hesse, Hermann""",Die junge Mutter,,,,,,,1900-2000,,4.27,,,,,,,
Hesse - Die Schmerzen,"""Hesse, Hermann""",Die Schmerzen,,,1927,,,,1900-2000,,4.97,,,,,,,
Hesse - Dienst,"""Hesse, Hermann""",Dienst,,,1935,,,,1900-2000,,4.105,,,,,,,
Hesse - Dorfabend (Der Schäfer mit den Schafen),"""Hesse, Hermann""",Dorfabend (Der Schäfer mit den Schafen),,,1897,,,,1900-2000,,4.27,,,,,,,
Hesse - Dorfabend (Vor den blanken Fenstern glühen),"""Hesse, Hermann""",Dorfabend (Vor den blanken Fenstern glühen),,,1935,,,,1900-2000,,4.54,,,,,,,
Hesse - Eine Geige in den Gärten,"""Hesse, Hermann""",Eine Geige in den Gärten,,,1902,,,,1900-2000,,4.49,,,,,,,
Hesse - Einer Frau,"""Hesse, Hermann""",Einer Frau,,,1919,,,,1900-2000,,4.89,,,,,,,
Hesse - Elisabeth 1,"""Hesse, Hermann""",Elisabeth 1,,,1900,,,,1900-2000,,4.59,,,,,,,
Hesse - Ende August,"""Hesse, Hermann""",Ende August,,,1929,,,,1900-2000,,4.109,,,,,,,
Hesse - Entschluß (Ich will nicht länger in dem Dunkel tasten),"""Hesse, Hermann""",Entschluß (Ich will nicht länger in dem Dunkel tasten),,,1906,,,,1900-2000,,4.105,,,,,,,
Hesse - Enzianblüte,"""Hesse, Hermann""",Enzianblüte,,,1913,,,,1900-2000,,4.67,,,,,,,
Hesse - Er ging im Dunkel,"""Hesse, Hermann""",Er ging im Dunkel,,,1901,,,,1900-2000,,2.10,,,,,,,
Hesse - Es wird dir sonderbar,"""Hesse, Hermann""",Es wird dir sonderbar,,,1901,,,,1900-2000,,4.72,,,,,,,
Hesse - Feierabend,"""Hesse, Hermann""",Feierabend,,,1905,,,,1900-2000,,4.103,,,,,,,
Hesse - Frühsommernacht,"""Hesse, Hermann""",Frühsommernacht,,,1898,,,,1830-1900,,4.4,,,,,,,
Hesse - Für Ninon,"""Hesse, Hermann""",Für Ninon,,,1927,,,,1900-2000,,4.27,,,,,,,
Hesse - Gebet,"""Hesse, Hermann""",Gebet,,,1902,,,,1900-2000,,4.110,,,,,,,
Hesse - Gedächtnis der Mutter,"""Hesse, Hermann""",Gedächtnis der Mutter,,,1916,,,,1900-2000,,4.49,,,,,,,
Hesse - Genesung,"""Hesse, Hermann""",Genesung,,,1904,,,,1900-2000,,4.91,,,,,,,
Hesse - Glück,"""Hesse, Hermann""",Glück,,,1907,,,,1900-2000,,"3.4,3.4kaa",,,,,,,
Hesse - Glut der Schmerzen,"""Hesse, Hermann""",Glut der Schmerzen,,,1927,,,,1900-2000,,4.74,,,,,,,
Hesse - Gondel,"""Hesse, Hermann""",Gondel,,,1907,,,,1900-2000,,4.88,,,,,,,
Hesse - Grindelwald,"""Hesse, Hermann""",Grindelwald,,,1902,,,,1900-2000,,2.9,,,,,,,
Hesse - Häuser am Abend,"""Hesse, Hermann""",Häuser am Abend,,,1933,,,,1900-2000,,4.60,,,,,,,
Hesse - Heimkehr (Nun bin ich lang gewesen),"""Hesse, Hermann""",Heimkehr (Nun bin ich lang gewesen),,,1902,,,,1900-2000,,4.20,,,,,,,
Hesse - Herbstgeruch,"""Hesse, Hermann""",Herbstgeruch,,,1947,,,,1900-2000,,4.97,,,,,,,
Hesse - Hochgebirgsabend,"""Hesse, Hermann""",Hochgebirgsabend,,,1903,,,,1900-2000,,4.104,,,,,,,
Hesse - Höhe des Sommers,"""Hesse, Hermann""",Höhe des Sommers,,,1933,,,,1900-2000,,4.36,,,,,,,
Hesse - Ich bin ein Stern,"""Hesse, Hermann""",Ich bin ein Stern,,,1896,,,,1830-1900,,"3.4,3.4axa",,,,,,,
Hesse - Ich bin nur Einer,"""Hesse, Hermann""",Ich bin nur Einer,,,1902,,,,1900-2000,,8.44,,,,,,,
Hesse - Ich liebe Frauen,"""Hesse, Hermann""",Ich liebe Frauen,,,1901,,,,1900-2000,,2.10,,,,,,,
Hesse - Irgendwo,"""Hesse, Hermann""",Irgendwo,,,1925,,,,1900-2000,,4.92,,,,,,,
Hesse - Jahrestag,"""Hesse, Hermann""",Jahrestag,,,1900,,,,1900-2000,,4.67,,,,,,,
Hesse - Jugendflucht,"""Hesse, Hermann""",Jugendflucht,,,1897,,,,1830-1900,,4.41,,,,,,,
Hesse - Klage,"""Hesse, Hermann""",Klage,,,1934,,,,1900-2000,,4.100,,,,,,,
Hesse - Ländlicher Friedhof,"""Hesse, Hermann""",Ländlicher Friedhof,,,1915,,,,1900-2000,,2.7,,,,,,,
Hesse - Landstreicherherberge,"""Hesse, Hermann""",Landstreicherherberge,,,1901,,vor 1900,,1900-2000,,4.59,,,,,,,
Hesse - Levkoyen und Reseden,"""Hesse, Hermann""",Levkoyen und Reseden,,,1898,,,,1830-1900,,4.46,,,,,,,
Hesse - Malerfreude,"""Hesse, Hermann""",Malerfreude,,,1918,,,,1900-2000,,4.90,,,,,,,
Hesse - Marienlieder 1,"""Hesse, Hermann""",Marienlieder 1,,,1901,,,,1900-2000,,4.26,,,,,,,
Hesse - Marienlieder 2,"""Hesse, Hermann""",Marienlieder 2,,,1900,,,,1900-2000,,4.98,,,,,,,
Hesse - Meine Liebe,"""Hesse, Hermann""",Meine Liebe,,,1901,,,,1900-2000,,4.73,,,,,,,
Hesse - Meiner Liebe 1,"""Hesse, Hermann""",Meiner Liebe 1,,,1900,,,,1900-2000,,4.24,,,,,,,
Hesse - Morgen (Nun lockt mich keine Liebesnacht),"""Hesse, Hermann""",Morgen (Nun lockt mich keine Liebesnacht),,,1906,,,,1900-2000,,4.41,,,,,,,
Hesse - Nach dem Fest,"""Hesse, Hermann""",Nach dem Fest,,,1913,,,,1900-2000,,4.46,,,,,,,
Hesse - Nacht im Odenwald,"""Hesse, Hermann""",Nacht im Odenwald,,,1901,,,,1900-2000,,4.58,,,,,,,
Hesse - Nachtgefühl,"""Hesse, Hermann""",Nachtgefühl,,,1914,,,,1900-2000,,4.30,,,,,,,
Hesse - Nelke,"""Hesse, Hermann""",Nelke,,,1919,,,,1900-2000,,5.9,,,,,,,
Hesse - November,"""Hesse, Hermann""",November,,,1919,,,,1900-2000,,4.98,,,,,,,
Hesse - Ode an Hölderlin,"""Hesse, Hermann""",Ode an Hölderlin,,,1913,,,,1900-2000,,4.111,,,,,,,
Hesse - Postkarte an die Freundin,"""Hesse, Hermann""",Postkarte an die Freundin,,,1920,,,,1900-2000,,4.16,,,,,,,
Hesse - Ravenna 2,"""Hesse, Hermann""",Ravenna 2,,,1902,,,,1900-2000,,4.72,,,,,,Frank: im Wechsel mit 4.73,
Hesse - Reiselied,"""Hesse, Hermann""",Reiselied,,,1911,,,,1900-2000,,4.91,,,,,,,
Hesse - Schönes Heute,"""Hesse, Hermann""",Schönes Heute,,,1903,,,,1900-2000,,4.46,,,,,,,
Hesse - Schönheit,"""Hesse, Hermann""",Schönheit,,,1911,,,,1900-2000,,4.41,,,,,,,
Hesse - September (Herbst will es werden allerwärts),"""Hesse, Hermann""",September (Herbst will es werden allerwärts),,,1907,,,,1900-2000,,4.65,,,,,,,
Hesse - So schön bist du,"""Hesse, Hermann""",So schön bist du,,,1898,,,,1830-1900,,4.40,,,,,,,
Hesse - So ziehn die Sterne,"""Hesse, Hermann""",So ziehn die Sterne,,,1898,,,,1830-1900,,4.65,,,,,,,
Hesse - Sommerruhe 1,"""Hesse, Hermann""",Sommerruhe 1,,,1898,,,,1830-1900,,4.20,,,,,,,
Hesse - Sommerruhe 2,"""Hesse, Hermann""",Sommerruhe 2,,,1898,,,,1830-1900,,4.46,,,,,,,
Hesse - Sommerwanderung,"""Hesse, Hermann""",Sommerwanderung,,,1902,,,,1900-2000,,4.47,,,,,,,
Hesse - Späte Prüfung,"""Hesse, Hermann""",Späte Prüfung,,,1944,,,,1900-2000,,4.55,,,,,,,
Hesse - Spielmann,"""Hesse, Hermann""",Spielmann,,,1900,,,,1900-2000,,4.54,,,,,,,
Hesse - Sprache des Frühlings,"""Hesse, Hermann""",Sprache des Frühlings,,,1931,,,,1900-2000,,4.91,,,,,,,
Hesse - Stiller Tag,"""Hesse, Hermann""",Stiller Tag,,,1927,,,,1900-2000,,4.110,,,,,,,
Hesse - Traum von der Mutter,"""Hesse, Hermann""",Traum von der Mutter,,,1903,,1903,,1900-2000,,5.9,,,,,,,
Hesse - Trost,"""Hesse, Hermann""",Trost,,,1908,,,,1900-2000,,4.26,,,,,,,
Hesse - Über die Alpen,"""Hesse, Hermann""",Über die Alpen,,,1901,,vor 1900,,1830-1900,,4.59,,,,,,,
Hesse - Und dennoch hofft mein Herz,"""Hesse, Hermann""",Und dennoch hofft mein Herz,,,1902,,19. Jh.,,1830-1900,,4.66,,,,,,,
Hesse - Und morgen,"""Hesse, Hermann""",Und morgen,,,1898,,,,1900-2000,,4.72,,,,,,,
Hesse - Vereinsamung,"""Hesse, Hermann""",Vereinsamung,,,1912,,,,1900-2000,,4.104,,,,,,,
Hesse - Wanderer im Schnee,"""Hesse, Hermann""",Wanderer im Schnee,,,1922,,,,1900-2000,,2.7,,,,,,,
Hesse - Weiße Wolken,"""Hesse, Hermann""",Weiße Wolken,,,1902,,,,1900-2000,,4.20,,,,,,,
Hesse - Wetterleuchten,"""Hesse, Hermann""",Wetterleuchten,,,1901,,,,1900-2000,,4.46,,,,,,,
Hesse - Wie kommt es?,"""Hesse, Hermann""",Wie kommt es?,,,1902,,,,1900-2000,,4.60,,,,,,,
Hesse - Wir leben hin,"""Hesse, Hermann""",Wir leben hin,,,1907,,,,1900-2000,,4.64,,,,,,,
Hesse - Wolken,"""Hesse, Hermann""",Wolken,,,1904,,,,1900-2000,,4.49,,,,,,,
Hesse - Zunachten,"""Hesse, Hermann""",Zunachten,,,1905,,,,1900-2000,,4.27,,,,,,,
Hesse - Zuschauer,"""Hesse, Hermann""",Zuschauer,,,1901,,,,1900-2000,,4.102,,,,,,,
"Hesse, J. - O Welt, ich muß dich lassen","""Hesse, Johannes""","O Welt, ich muß dich lassen",,,,,um 1555,,-1600,,6.9,,,,,,,
"Hessel - Edler Herr Jesu, du Seelenschatz, dich wir bekennen","""Hessel, Peter""","Edler Herr Jesu, du Seelenschatz, dich wir bekennen",,,,,,,1600-1700,,5.13,,,,,,,
"Heunisch - O Ewigkeit, du Freudenwort","""Heunisch, Kaspar""","O Ewigkeit, du Freudenwort",,,,,,,1600-1700,,8.18,,,,,,,
Heyden - Als Jesus Christus unser Herr,"""Heyden, Sebald""",Als Jesus Christus unser Herr,,,,,,,-1600,,12.4,,,,,,,
Heyden - Ich glaub an den allmächtgen Gott,"""Heyden, Sebald""",Ich glaub an den allmächtgen Gott,,,,,16. Jh.,,-1600,,6.33,,,,,,,
"Heyden - O Mensch, bewein dein Sünden groß","""Heyden, Sebald""","O Mensch, bewein dein Sünden groß",,,,,1525,,-1600,,12.4,,,,,,,
Heym - Ach du bist wunderschlank,"""Heym, Georg""",Ach du bist wunderschlank,,,,,,,1900-2000,,"3.4,3.4aak",,,,,,,
Heym - An mein Herz,"""Heym, Georg""",An mein Herz,,,,,,,1900-2000,,4.98,,,,,,,
Heym - Anna-Maria,"""Heym, Georg""",Anna-Maria,,,,,,,1900-2000,,4.93,,,,,,,
Heym - Asien,"""Heym, Georg""",Asien,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Bayard,"""Heym, Georg""",Bayard,,,,,,,1900-2000,,4.52,,,,,,,
Heym - Blau. Weiß. Grün,"""Heym, Georg""",Blau. Weiß. Grün,,,,,,,1900-2000,,4.104,,,,,,,
Heym - Columbus,"""Heym, Georg""",Columbus,,,,,,,1900-2000,,4.106,,,,,,,
Heym - Da mitternachts ein feiner,"""Heym, Georg""",Da mitternachts ein feiner,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Da sank der Abend,"""Heym, Georg""",Da sank der Abend,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Das Lettehaus,"""Heym, Georg""",Das Lettehaus,,,,,,,1900-2000,,4.99,,,,,,,
Heym - Das schwarze Wasser stockt,"""Heym, Georg""",Das schwarze Wasser stockt,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Das Stromtal ist von schweren,"""Heym, Georg""",Das Stromtal ist von schweren,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Der Abend,"""Heym, Georg""",Der Abend,,,,,,1910,1900-2000,,4.103,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b186758952e88df71c7,,,
Heym - Der Asket,"""Heym, Georg""",Der Asket,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Der Blinde,"""Heym, Georg""",Der Blinde,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Der Bucklige,"""Heym, Georg""",Der Bucklige,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Der Gott der Stadt,"""Heym, Georg""",Der Gott der Stadt,,,,,,1910,1900-2000,,4.100,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b186758952e88df71ba,,,
Heym - Der Herbst,"""Heym, Georg""",Der Herbst,,,,,,,1900-2000,,4.93,,,,,,,
Heym - Der Himmel wird so schwarz,"""Heym, Georg""",Der Himmel wird so schwarz,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Der Krieg,"""Heym, Georg""",Der Krieg,,,,,1911,1911,1900-2000,,4.112,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b186758952e88df71bc,,,
Heym - Der Schläfer im Walde,"""Heym, Georg""",Der Schläfer im Walde,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Der Seiler,"""Heym, Georg""",Der Seiler,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Der Totenkranz,"""Heym, Georg""",Der Totenkranz,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Der Wald (Ein stiller Wald. Ein blasses Königreich),"""Heym, Georg""",Der Wald (Ein stiller Wald. Ein blasses Königreich),,,,,,,1900-2000,,4.101,,,,,,,
Heym - Der Winter,"""Heym, Georg""",Der Winter,,,,,,,1900-2000,,3.9,,,,,,,
Heym - Der Winzerzug,"""Heym, Georg""",Der Winzerzug,,,,,,,1900-2000,,4.110,,,,,,,
Heym - Die Bienen fallen in den,"""Heym, Georg""",Die Bienen fallen in den,,,,,,,1900-2000,,3.7,,,,,,,
Heym - Die blinden Frauen,"""Heym, Georg""",Die blinden Frauen,,,,,,,1900-2000,,4.106,,,,,,,
Heym - Die Dämonen der Städte,"""Heym, Georg""",Die Dämonen der Städte,,,,,,1910,1900-2000,,4.100,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b186758952e88df71ca,,,
Heym - Die Gefangenen 1,"""Heym, Georg""",Die Gefangenen 1,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Die gefangenen Tiere,"""Heym, Georg""",Die gefangenen Tiere,,,,,,,1900-2000,,4.21,,,,,,,
Heym - Die Gehängten,"""Heym, Georg""",Die Gehängten,,,,,,,1900-2000,,4.110,,,,,,,
Heym - Die Greise,"""Heym, Georg""",Die Greise,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Die Heimat der Toten,"""Heym, Georg""",Die Heimat der Toten,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Die hellen Dörfer ruhen in,"""Heym, Georg""",Die hellen Dörfer ruhen in,,,,,,,1900-2000,,4.105,,,,,,,
Heym - Die Irren,"""Heym, Georg""",Die Irren,,,,,,,1900-2000,,4.110,,,,,,,
Heym - Die Luft ist warm,"""Heym, Georg""",Die Luft ist warm,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Die Märkte,"""Heym, Georg""",Die Märkte,,,,,,,1900-2000,,4.94,,,,,,,
Heym - Die niedren Himmel hingen,"""Heym, Georg""",Die niedren Himmel hingen,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Die Opferschale zittert in,"""Heym, Georg""",Die Opferschale zittert in,,,,,,,1900-2000,,4.110,,,,,,,
Heym - Die Stadt in den Wolken,"""Heym, Georg""",Die Stadt in den Wolken,,,,,,,1900-2000,,4.109,,,,,,,
Heym - Die Tote im Wasser,"""Heym, Georg""",Die Tote im Wasser,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Die Toten auf dem Berge,"""Heym, Georg""",Die Toten auf dem Berge,,,,,,,1900-2000,,4.103,,,,,,,
Heym - Die Wanderer,"""Heym, Georg""",Die Wanderer,,,,,,,1900-2000,,4.106,,,,,,,
Heym - Die weißen Wolken,"""Heym, Georg""",Die weißen Wolken,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Die Wiesen des Todes,"""Heym, Georg""",Die Wiesen des Todes,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Dorf,"""Heym, Georg""",Dorf,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Eine Heimat wüßte ich uns,"""Heym, Georg""",Eine Heimat wüßte ich uns,,,,,,,1900-2000,,4.97,,,,,,,
Heym - Einem toten Freunde,"""Heym, Georg""",Einem toten Freunde,,,,,,,1900-2000,,4.61,,,,,,,
Heym - Einklang,"""Heym, Georg""",Einklang,,,,,,,1900-2000,,4.64,,,,,,,
Heym - Einteilt der Sommer,"""Heym, Georg""",Einteilt der Sommer,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Enzio,"""Heym, Georg""",Enzio,,,,,,,1900-2000,,4.54,,,,,,,
Heym - Es hallt vom schwarzen Turm,"""Heym, Georg""",Es hallt vom schwarzen Turm,,,,,,,1900-2000,,4.59,,,,,,,
Heym - Fröhlichkeit,"""Heym, Georg""",Fröhlichkeit,,,,,,,1900-2000,,4.110,,,,,,,
Heym - Frühlingsabend,"""Heym, Georg""",Frühlingsabend,,,,,,,1900-2000,,4.105,,,,,,,
Heym - Gegen Norden,"""Heym, Georg""",Gegen Norden,,,,,,,1900-2000,,4.105,,,,,,,
Heym - Herbst,"""Heym, Georg""",Herbst,,,,,,,1900-2000,,4.106,,,,,,,
Heym - Herbstnachmittag,"""Heym, Georg""",Herbstnachmittag,,,,,,,1900-2000,,4.99,,,,,,,
Heym - Hinten fällt ein Tier im,"""Heym, Georg""",Hinten fällt ein Tier im,,,,,,,1900-2000,,4.98,,,,,,,
Heym - Im Halbschlaf,"""Heym, Georg""",Im Halbschlaf,,,,1905,,,1900-2000,,---,Freie Verse,,,,,,
Heym - Im Herbst,"""Heym, Georg""",Im Herbst,,,,1906,,,1900-2000,,---,Freie Verse,,,,,,
Heym - Im Osten zieht das ungeheure,"""Heym, Georg""",Im Osten zieht das ungeheure,,,,,,,1900-2000,,4.100,,,,,,,
Heym - In der Öde,"""Heym, Georg""",In der Öde,,,,,,,1900-2000,,4.72,,,,,,Frank: im Wechsel mit 4.64,
Heym - In meinem Herzen steht ein,"""Heym, Georg""",In meinem Herzen steht ein,,,,,,,1900-2000,,4.67,,,,,,,
"Heym - Kennst du die Stunden, wenn","""Heym, Georg""","Kennst du die Stunden, wenn",,,,,,,1900-2000,,4.104,,,,,,,
Heym - Madrigal,"""Heym, Georg""",Madrigal,,,,,,,1900-2000,,3.7,,,,,,,
Heym - Manchem Menschen,"""Heym, Georg""",Manchem Menschen,,,,1905,,,1900-2000,,---,Freie Verse,,,,,,
Heym - Nachtfahrt,"""Heym, Georg""",Nachtfahrt,,,,,,,1900-2000,,4.60,,,,,,,
Heym - Nebelschauer,"""Heym, Georg""",Nebelschauer,,,,,,,1900-2000,,4.20,,,,,,,
Heym - Novembertag,"""Heym, Georg""",Novembertag,,,,,,,1900-2000,,4.34,,,,,,,
Heym - O welche ungeheure Schönheit,"""Heym, Georg""",O welche ungeheure Schönheit,,,,1905,,,1900-2000,,---,Freie Verse,,,,,,
"Heym - Reicher Sommer, da die","""Heym, Georg""","Reicher Sommer, da die",,,,,,,1900-2000,,4.97,,,,,,,
Heym - Schatten von Kähnen,"""Heym, Georg""",Schatten von Kähnen,,,,,,,1900-2000,,4.101,,,,,,,
Heym - Schwarze Visionen,"""Heym, Georg""",Schwarze Visionen,,,,,,,1900-2000,,4.106,,,,,,,
