Nr,Name,Versform,Verstyp,Hebungsschema,Kadenzen,Versschema,Versschema_HTML,Reimschema,Herkunft,Rang,Strophentyp,VT00001600,VT16001700,VT17001770,VT17701830,VT18301900,VT19001980,R00001600,R16001700,R17001770,R17701830,R18301900,R19001980
8.19,Ode trochaica (Barock),,trochäisch,[4 4 4 4 4 4 4 4],m m m m m m m m,+ - + - + - + || + - + - + - + || + - + - + - + || + - + - + - + || + - + - + - + || + - + - + - + || + - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +</p>",a a b b c c d d,jüngere Prägung (keine spezifische Herkunft),114,08 Achtzeiler,,,,,,,,,,,,
8.20,,,trochäisch,[4 4 4 4 4 4 4 4],m m m m m m m m,+ - + - + - + || + - + - + - + || + - + - + - + || + - + - + - + || + - + - + - + || + - + - + - + || + - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),117,08 Achtzeiler,,,,,,,,,,,,
8.21,,,trochäisch,[4 4 4 4 4 4 4 4],m w m w m w m w,+ - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),103,08 Achtzeiler,,,,,,,,,,,,
8.22,,,trochäisch,[4 4 4 4 4 4 4 4],m w m w m w w m,+ - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + - || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - +</p>",a b a b c d d c,jüngere Prägung (keine spezifische Herkunft),115,08 Achtzeiler,0,1,2,0,0,0,,,,,,
8.23,,,trochäisch,[4 4 4 4 4 4 4 4],m w m w w m w m,+ - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),116,08 Achtzeiler,,,,,,,,,,,,
8.24,,,trochäisch,[4 4 4 4 4 4 4 4],w m m w w m m w,+ - + - + - + - || + - + - + - + || + - + - + - + || + - + - + - + - || + - + - + - + - || + - + - + - + || + - + - + - + || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - + -</p>",a b b a c d d c,jüngere Prägung (keine spezifische Herkunft),120,08 Achtzeiler,,,,,,,,,,,,
8.25,,,trochäisch,[4 4 4 4 4 4 4 4],w m w m m m w w,+ - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + || + - + - + - + || + - + - + - + - || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - + -</p>",a b a b c c d d,jüngere Prägung (keine spezifische Herkunft),30,08 Achtzeiler,0,37,9,1,0,0,,4,,,,
8.26,(doppelte Romanzenstrophe),,trochäisch,[4 4 4 4 4 4 4 4],w m w m w m w m,+ - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +</p>",a b a b c d c d / x a x a x b x b,jüngere Prägung (keine spezifische Herkunft),11,08 Achtzeiler,0,8,29,40,14,3,,,8,6,16,
8.27,,,trochäisch,[4 4 4 4 4 4 4 4],w m w m w w m m,+ - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + - || + - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - +</p>",a b a b c c d d,jüngere Prägung (keine spezifische Herkunft),40,08 Achtzeiler,0,14,20,5,2,1,,18,13,,,
8.28,,,trochäisch,[4 4 4 4 4 4 4 4],w w m m w w m m,+ - + - + - + - || + - + - + - + - || + - + - + - + || + - + - + - + || + - + - + - + - || + - + - + - + - || + - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - +</p>",a a b b c c d d,jüngere Prägung (keine spezifische Herkunft),102,08 Achtzeiler,1,5,1,0,0,0,,,,,,
